Aralık,Pozitif Yorum,Pozitif Yorum Sayısı,Negatif Yorum,Negatif Yorum Sayısı,Üniversiteler,Pozitif Yüzde,Negatif Yüzde
13772-13921,Pozitif yorum sayısı,132,Negatif yorum sayısı,17,Özyeğin Üniversitesi,88.59060402684564,11.409395973154362
13922-13952,Pozitif yorum sayısı,25,Negatif yorum sayısı,5,Piri Reis Üniversitesi,83.33333333333334,16.666666666666664
13953-14127,Pozitif yorum sayısı,156,Negatif yorum sayısı,18,Sabancı Üniversitesi,89.65517241379311,10.344827586206897
14146-14230,Pozitif yorum sayısı,72,Negatif yorum sayısı,12,Üsküdar Üniversitesi,85.71428571428571,14.285714285714285
14231-14498,Pozitif yorum sayısı,238,Negatif yorum sayısı,29,Yeditepe Üniversitesi,89.13857677902621,10.861423220973784
14499-14532,Pozitif yorum sayısı,27,Negatif yorum sayısı,6,Yeni Yüzyıl Üniversitesi,81.81818181818183,18.181818181818183
14533-14762,Pozitif yorum sayısı,207,Negatif yorum sayısı,22,Dokuz Eylül Üniversitesi,90.39301310043668,9.60698689956332
14763-15007,Pozitif yorum sayısı,211,Negatif yorum sayısı,33,Ege Üniversitesi,86.47540983606558,13.524590163934429
15008-15107,Pozitif yorum sayısı,77,Negatif yorum sayısı,22,İzmir Yüksek Teknoloji Enstitüsü,77.77777777777779,22.22222222222222
15108-15237,Pozitif yorum sayısı,103,Negatif yorum sayısı,26,İzmir Kâtip Çelebi Üniversitesi,79.84496124031007,20.155038759689923
15263-15298,Pozitif yorum sayısı,25,Negatif yorum sayısı,10,İzmir Demokrasi Üniversitesi,71.42857142857143,28.57142857142857
15299-15377,Pozitif yorum sayısı,69,Negatif yorum sayısı,9,İzmir Ekonomi Üniversitesi,88.46153846153845,11.538461538461538
15394-15441,Pozitif yorum sayısı,36,Negatif yorum sayısı,11,Yaşar Üniversitesi,76.59574468085107,23.404255319148938
15459-15783,Pozitif yorum sayısı,241,Negatif yorum sayısı,83,Karabük Üniversitesi,74.38271604938271,25.617283950617285
15829-15858,Pozitif yorum sayısı,24,Negatif yorum sayısı,5,Abdullah Gül Üniversitesi,82.75862068965517,17.24137931034483
15859-15930,Pozitif yorum sayısı,61,Negatif yorum sayısı,10,Erciyes Üniversitesi,85.91549295774648,14.084507042253522
15947-16008,Pozitif yorum sayısı,50,Negatif yorum sayısı,11,Kırıkkale Üniversitesi,81.9672131147541,18.0327868852459
16009-16035,Pozitif yorum sayısı,22,Negatif yorum sayısı,4,Kırklareli Üniversitesi,84.61538461538461,15.384615384615383
16066-16396,Pozitif yorum sayısı,300,Negatif yorum sayısı,30,Kocaeli Üniversitesi,90.9090909090909,9.090909090909092
16420-16448,Pozitif yorum sayısı,22,Negatif yorum sayısı,6,Necmettin Erbakan Üniversitesi,78.57142857142857,21.428571428571427
16449-16521,Pozitif yorum sayısı,64,Negatif yorum sayısı,8,Selçuk Üniversitesi,88.88888888888889,11.11111111111111
16540-16567,Pozitif yorum sayısı,23,Negatif yorum sayısı,4,KTO Karatay Üniversitesi,85.18518518518519,14.814814814814811
16568-16623,Pozitif yorum sayısı,43,Negatif yorum sayısı,12,Kütahya Dumlupınar Üniversitesi,78.18181818181819,21.818181818181817
16629-16672,Pozitif yorum sayısı,31,Negatif yorum sayısı,12,İnönü Üniversitesi,72.09302325581395,27.906976744186046
16683-16734,Pozitif yorum sayısı,44,Negatif yorum sayısı,7,Manisa Celal Bayar Üniversitesi,86.27450980392157,13.725490196078432
16760-16820,Pozitif yorum sayısı,51,Negatif yorum sayısı,9,Mersin Üniversitesi,85.0,15.0
16846-16944,Pozitif yorum sayısı,85,Negatif yorum sayısı,13,Muğla Sıtkı Koçman Üniversitesi,86.73469387755102,13.26530612244898
17018-17043,Pozitif yorum sayısı,19,Negatif yorum sayısı,6,Recep Tayyip Erdoğan Üniversitesi,76.0,24.0
17044-17234,Pozitif yorum sayısı,172,Negatif yorum sayısı,18,Sakarya Üniversitesi,90.52631578947368,9.473684210526317
17247-17304,Pozitif yorum sayısı,49,Negatif yorum sayısı,8,Ondokuz Mayıs Üniversitesi,85.96491228070175,14.035087719298245
17353-17409,Pozitif yorum sayısı,46,Negatif yorum sayısı,10,Sivas Bilim ve Teknoloji Üniversitesi,82.14285714285714,17.857142857142858
17441-17488,Pozitif yorum sayısı,43,Negatif yorum sayısı,4,Tekirdağ Namık Kemal Üniversitesi,91.48936170212764,8.51063829787234
17507-17638,Pozitif yorum sayısı,115,Negatif yorum sayısı,16,Karadeniz Teknik Üniversitesi,87.78625954198473,12.213740458015266
17688-17730,Pozitif yorum sayısı,34,Negatif yorum sayısı,8,Uşak Üniversitesi,80.95238095238095,19.047619047619047
17751-17784,Pozitif yorum sayısı,30,Negatif yorum sayısı,3,Yalova Üniversitesi,90.9090909090909,9.090909090909092
17785-17812,Pozitif yorum sayısı,21,Negatif yorum sayısı,6,Yozgat Bozok Üniversitesi,77.77777777777779,22.22222222222222
